facility_name,location_type,restroom_type,restroom_latitude,restroom_longitude,restroom_location,restroom_open,restroom_accessibility,restroom_changing_stations,restroom_status
Albemarle Playground,Park,Multi-Stall W/M Restrooms,40.646035,-73.980514,"c(-73.980514, 40.646035)",Year Round,Fully Accessible,0,1
"Great Kills Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.552432,-74.151113,"c(-74.151113, 40.552432)",Year Round,Fully Accessible,1,1
Frederick B. Judge Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.683122,-73.807929,"c(-73.807929, 40.683122)",Year Round,Fully Accessible,0,1
Grover Cleveland Playground,Park,Multi-Stall W/M Restrooms,40.710895,-73.910949,"c(-73.910949, 40.710895)",Year Round,Not Accessible,0,1
Imagination Playground,Park,Single-Stall All Gender Restroom(s),40.706227,-74.00402,"c(-74.00402, 40.706227)",Year Round,Fully Accessible,0,1
St. John's Park,Park,Multi-Stall W/M Restrooms,40.673789,-73.935309,"c(-73.935309, 40.673789)",Year Round,Not Accessible,0,1
Parkside Playground,Park,Multi-Stall W/M Restrooms,40.868442,-73.867988,"c(-73.867988, 40.868442)",Year Round,Fully Accessible,0,1
Zimmerman Playground,Park,Multi-Stall W/M Restrooms,40.866092,-73.868747,"c(-73.868747, 40.866092)",Unknown,Fully Accessible,0,0
"Flatbush Library, BPL",Library,Multi-Stall W/M Restrooms,40.651933,-73.958244,"c(-73.958244, 40.651933)",Year Round,Partially Accessible,1,1
Asser Levy Park,Park,Multi-Stall W/M Restrooms,40.575424,-73.972906,"c(-73.972906, 40.575424)",Seasonal,Not Accessible,0,1
St. James Park,Park,Multi-Stall W/M Restrooms,40.865439,-73.898524,"c(-73.898524, 40.865439)",Year Round,Fully Accessible,0,1
Ocean Hill Playground,Park,Multi-Stall W/M Restrooms,40.674566,-73.912033,"c(-73.912033, 40.674566)",Unknown,Fully Accessible,0,0
Lawrence Virgilio Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.747494,-73.9106,"c(-73.9106, 40.747494)",Seasonal,Fully Accessible,0,1
"Hudson River Park Pier 40 - Courtyard Tunnel, Second Floor",Park,,40.728807,-74.011616,"c(-74.011616, 40.728807)",Year Round,Fully Accessible,0,1
645 Fifth Avenue POPS,Privately Owned Public Space,Multi-Stall W/M Restrooms,40.759207,-73.976087,"c(-73.976087, 40.759207)",Year Round,Fully Accessible,0,1
Albert H. Mauro Playground,Park,Multi-Stall W/M Restrooms,40.722939,-73.827111,"c(-73.827111, 40.722939)",Year Round,Fully Accessible,0,1
St. Vartan Park,Park,Multi-Stall W/M Restrooms,40.744955,-73.973259,"c(-73.973259, 40.744955)",Unknown,Partially Accessible,0,1
Washington Market Park,Park,Multi-Stall W/M Restrooms,40.717488,-74.011506,"c(-74.011506, 40.717488)",Year Round,Fully Accessible,0,1
Rosemary's Playground,Park,Multi-Stall W/M Restrooms,40.704624,-73.904435,"c(-73.904435, 40.704624)",Year Round,Not Accessible,0,1
The Boathouse,Park,,40.660831,-73.965282,"c(-73.965282, 40.660831)",Year Round,Unknown,0,1
Saul Weprin Playground,Park,Multi-Stall W/M Restrooms,40.747875,-73.776245,"c(-73.776245, 40.747875)",Seasonal,Fully Accessible,0,1
"Mitchell-Linden Library, QPL",Library,Single-Stall All Gender Restroom(s),40.76915,-73.826942,"c(-73.826942, 40.76915)",Year Round,Unknown,1,1
Keltch Memorial Park Snack Bar,Park,,40.840542,-73.917785,"c(-73.917785, 40.840542)",Year Round,Unknown,0,1
East River Park Zone 2,Park,Multi-Stall W/M Restrooms,40.712805,-73.976142,"c(-73.976142, 40.712805)",Unknown,Fully Accessible,0,0
Marlboro Playground,Park,Multi-Stall W/M Restrooms,40.591356,-73.981064,"c(-73.981064, 40.591356)",Unknown,Not Accessible,0,0
Bellaire Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.721715,-73.758047,"c(-73.758047, 40.721715)",Year Round,Fully Accessible,0,1
"Kings Bay Library, BPL",Library,Multi-Stall W/M Restrooms,40.59487,-73.941126,"c(-73.941126, 40.59487)",Year Round,Fully Accessible,1,1
Bronx Shore,Park,,40.800545,-73.923905,"c(-73.923905, 40.800545)",Year Round,Fully Accessible,0,1
Winthrop Playground,Park,Multi-Stall W/M Restrooms,40.656527,-73.954805,"c(-73.954805, 40.656527)",Year Round,Not Accessible,0,1
Monsignor Raul Del Valle Square,Park,,40.8207,-73.890601,"c(-73.890601, 40.8207)",Unknown,Unknown,0,0
Coney Island Beach Zone 6b,Park,Multi-Stall W/M Restrooms,40.57237,-73.98852,"c(-73.98852, 40.57237)",Seasonal,Fully Accessible,0,1
Frank D. O'Connor Playground,Park,Multi-Stall W/M Restrooms,40.744392,-73.886861,"c(-73.886861, 40.744392)",Year Round,Not Accessible,0,1
Space Time Playground,Park,Multi-Stall W/M Restrooms,40.822099,-73.859936,"c(-73.859936, 40.822099)",Year Round,Fully Accessible,0,1
"Tompkins Square Library, NYPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.727296,-73.980422,"c(-73.980422, 40.727296)",Year Round,Fully Accessible,0,1
South Shore Golf Course,Park,,40.551065,-74.205152,"c(-74.205152, 40.551065)",Year Round,Unknown,0,0
Mahoney Playground,Park,Multi-Stall W/M Restrooms,40.643482,-74.086177,"c(-74.086177, 40.643482)",Year Round,Fully Accessible,0,1
Beach 17th St. Playground,Park,Multi-Stall W/M Restrooms,40.594189,-73.750564,"c(-73.750564, 40.594189)",Year Round,Fully Accessible,0,1
"Jamaica Bay Library, BPL",Library,Single-Stall All Gender Restroom(s),40.634468,-73.889245,"c(-73.889245, 40.634468)",Year Round,Fully Accessible,1,1
Wallenberg Playground,Park,Multi-Stall W/M Restrooms,40.852823,-73.927163,"c(-73.927163, 40.852823)",Year Round,Not Accessible,0,1
Yolanda García Park,Park,Multi-Stall W/M Restrooms,40.822886,-73.913911,"c(-73.913911, 40.822886)",Year Round,Fully Accessible,0,1
"Queensboro Hill Library, QPL",Library,,40.742939,-73.825171,"c(-73.825171, 40.742939)",Year Round,Unknown,0,0
