facility_name,location_type,restroom_type,restroom_latitude,restroom_longitude,restroom_location,restroom_open,restroom_accessibility,restroom_changing_stations,restroom_status
Central Park West,Park,Multi-Stall W/M Restrooms,40.769186,-73.980801,"c(-73.980801, 40.769186)",Seasonal,Fully Accessible,0,1
East River Waterfront Esplanade Zone 1,Park,Multi-Stall W/M Restrooms,40.704736,-74.003405,"c(-74.003405, 40.704736)",Year Round,Fully Accessible,0,1
"Stephen A. Schwarzman Building, NYPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.753213,-73.982232,"c(-73.982232, 40.753213)",Year Round,Fully Accessible,0,1
Poor Richard's Playground,Park,Multi-Stall W/M Restrooms,40.792986,-73.943109,"c(-73.943109, 40.792986)",Unknown,Fully Accessible,0,0
St Mary's Playground East,Park,Multi-Stall W/M Restrooms,40.809905,-73.910486,"c(-73.910486, 40.809905)",Year Round,Fully Accessible,0,1
"Maspeth Library, QPL",Library,Single-Stall All Gender Restroom(s),40.727004,-73.893106,"c(-73.893106, 40.727004)",Year Round,Unknown,1,1
"North Hills Library, QPL",Library,Single-Stall All Gender Restroom(s),40.759262,-73.731839,"c(-73.731839, 40.759262)",Year Round,Unknown,1,1
Shore Road Park Zone 2,Park,Multi-Stall W/M Restrooms,40.632076,-74.038741,"c(-74.038741, 40.632076)",Seasonal,Not Accessible,0,1
"Steinway Library, QPL",Library,Single-Stall All Gender Restroom(s),40.776835,-73.909458,"c(-73.909458, 40.776835)",Year Round,Unknown,1,1
Harry Maze Playground,Park,Multi-Stall W/M Restrooms,40.643332,-73.923243,"c(-73.923243, 40.643332)",Seasonal,Fully Accessible,0,1
Lincoln Terrace Park / Arthur S. Somers Playground,Park,Multi-Stall W/M Restrooms,40.66637,-73.927571,"c(-73.927571, 40.66637)",Seasonal,Not Accessible,0,1
Twin Island,Park,,40.870484,-73.786588,"c(-73.786588, 40.870484)",Year Round,Unknown,0,1
Williamsbridge Oval,Park,Multi-Stall W/M Restrooms,40.876665,-73.878572,"c(-73.878572, 40.876665)",Year Round,Fully Accessible,0,1
"Kips Bay Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.743818,-73.979903,"c(-73.979903, 40.743818)",Year Round,Fully Accessible,1,1
Tecumseh Playground,Park,Multi-Stall W/M Restrooms,40.781912,-73.978712,"c(-73.978712, 40.781912)",Year Round,Not Accessible,0,1
"Todt Hill-Westerleigh Library, NYPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.609610000000004,-74.148523,"c(-74.148523, 40.60961)",Year Round,Fully Accessible,0,1
Sixteen Sycamores Playground,Park,Multi-Stall W/M Restrooms,40.686723,-73.980995,"c(-73.980995, 40.686723)",Year Round,Fully Accessible,0,1
Calvert Vaux Park Playground,Park,Multi-Stall W/M Restrooms,40.58813,-73.990264,"c(-73.990264, 40.58813)",Year Round,Fully Accessible,0,1
Horseshoe Playground,Park,Multi-Stall W/M Restrooms,40.824235,-73.897815,"c(-73.897815, 40.824235)",Year Round,Fully Accessible,0,1
East River Playground,Park,Multi-Stall W/M Restrooms,40.789193,-73.937893,"c(-73.937893, 40.789193)",Year Round,Fully Accessible,0,1
Clove Lakes Cafe,Park,,40.617665,-74.108137,"c(-74.108137, 40.617665)",Year Round,Unknown,0,1
"Glen Oaks Library, QPL",Library,Single-Stall All Gender Restroom(s),40.745181,-73.714847,"c(-73.714847, 40.745181)",Year Round,Unknown,1,1
Playground 286,Park,Multi-Stall W/M Restrooms,40.590608,-73.938475,"c(-73.938475, 40.590608)",Year Round,Fully Accessible,0,1
"Pelham Bay Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.844326,-73.827902,"c(-73.827902, 40.844326)",Year Round,Fully Accessible,1,1
J. Hood Wright Park,Park,,40.846453,-73.940764,"c(-73.940764, 40.846453)",Year Round,Unknown,0,1
Spirit Playground,Park,Multi-Stall W/M Restrooms,40.761387,-73.941316,"c(-73.941316, 40.761387)",Seasonal,Not Accessible,0,1
Nellie Bly Amusement Park,Park,,40.590614,-73.994912,"c(-73.994912, 40.590614)",Seasonal,Unknown,0,0
Willow Lake Playground,Park,Multi-Stall W/M Restrooms,40.722504,-73.837091,"c(-73.837091, 40.722504)",Year Round,Not Accessible,0,1
Bush Terminal Park,Park,Multi-Stall W/M Restrooms,40.653348,-74.019219,"c(-74.019219, 40.653348)",Year Round,Fully Accessible,0,1
Coney Island Beach Zone 7a,Park,Multi-Stall W/M Restrooms,40.571665,-73.992294,"c(-73.992294, 40.571665)",Seasonal,Fully Accessible,0,1
The Great Hill,Park,Multi-Stall W/M Restrooms,40.797329,-73.959063,"c(-73.959063, 40.797329)",Seasonal,Not Accessible,0,1
Story Playground,Park,Multi-Stall W/M Restrooms,40.822979,-73.863106,"c(-73.863106, 40.822979)",Year Round,Fully Accessible,0,1
Golconda Playground,Park,Multi-Stall W/M Restrooms,40.697972,-73.98284,"c(-73.98284, 40.697972)",Seasonal,Not Accessible,0,1
Breukelen Playground,Park,Multi-Stall W/M Restrooms,40.653733,-73.893975,"c(-73.893975, 40.653733)",Year Round,Fully Accessible,0,1
River Park,Park,Multi-Stall W/M Restrooms,40.843174,-73.877344,"c(-73.877344, 40.843174)",Year Round,Fully Accessible,0,1
Curtis Playground,Park,Multi-Stall W/M Restrooms,40.640805,-73.917601,"c(-73.917601, 40.640805)",Year Round,Fully Accessible,0,1
Betsy Head Park,Park,Multi-Stall W/M Restrooms,40.661939,-73.914409,"c(-73.914409, 40.661939)",Year Round,Fully Accessible,0,1
"Highlawn Library, BPL",Library,Single-Stall All Gender Restroom(s),40.605701,-73.986248,"c(-73.986248, 40.605701)",Year Round,Fully Accessible,1,1
Grand Army Plaza APT,Public Plaza,Single-Stall All Gender Restroom(s),40.672237,-73.969074,"c(-73.969074, 40.672237)",Year Round,Fully Accessible,0,1
Dyker Playground,Park,Multi-Stall W/M Restrooms,40.61308,-74.013153,"c(-74.013153, 40.61308)",Year Round,Fully Accessible,0,1
Fort Tryon Park Zone 1,Park,,40.860769,-73.93276,"c(-73.93276, 40.860769)",Year Round,Unknown,0,1
Detective Keith L Williams Park,Park,Multi-Stall W/M Restrooms,40.70398,-73.785145,"c(-73.785145, 40.70398)",Year Round,Not Accessible,0,1
Stockton Playground,Park,Multi-Stall W/M Restrooms,40.697121,-73.948607,"c(-73.948607, 40.697121)",Year Round,Fully Accessible,0,1
Wildlife Sanctuary & 119th St. Tennis Courts,Park,Multi-Stall W/M Restrooms,40.811329,-73.965653,"c(-73.965653, 40.811329)",Year Round,Not Accessible,0,1
Gun Hill Playground,Park,Multi-Stall W/M Restrooms,40.874675,-73.865424,"c(-73.865424, 40.874675)",Year Round,Fully Accessible,0,1
"Chatham Square Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.713341,-73.996491,"c(-73.996491, 40.713341)",Year Round,Fully Accessible,1,1
Rolph Henry Playground,Park,Multi-Stall W/M Restrooms,40.655685,-73.947495,"c(-73.947495, 40.655685)",Year Round,Not Accessible,0,1
Alley Pond Park Zone 2,Park,Multi-Stall W/M Restrooms,40.741956,-73.739958,"c(-73.739958, 40.741956)",Year Round,Not Accessible,0,1
"Fort Hamilton Library, BPL",Library,Single-Stall All Gender Restroom(s),40.616381,-74.031371,"c(-74.031371, 40.616381)",Year Round,Fully Accessible,1,1
Newtown Playground,Park,Multi-Stall W/M Restrooms,40.73625,-73.869826,"c(-73.869826, 40.73625)",Seasonal,Not Accessible,0,1
Prospect Park Indoor Tennis,Park,,40.651267,-73.970257,"c(-73.970257, 40.651267)",Year Round,Unknown,0,1
Grady Playground,Park,Multi-Stall W/M Restrooms,40.582536,-73.964425,"c(-73.964425, 40.582536)",Unknown,Not Accessible,0,0
725 Fifth Avenue POPS,Privately Owned Public Space,Multi-Stall W/M Restrooms,40.762319,-73.973895,"c(-73.973895, 40.762319)",Year Round,Unknown,0,1
St. Nicholas Playground South,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.811069,-73.947207,"c(-73.947207, 40.811069)",Unknown,Fully Accessible,0,0
"Morningside Heights Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.806139,-73.964777,"c(-73.964777, 40.806139)",Year Round,Fully Accessible,1,1
"East Elmhurst Library, QPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.76243,-73.873868,"c(-73.873868, 40.76243)",Year Round,Unknown,0,1
Christopher J. Igneri Playground,Park,Multi-Stall W/M Restrooms,40.60873,-74.119467,"c(-74.119467, 40.60873)",Year Round,Fully Accessible,0,1
Silent Springs Playground,Park,Multi-Stall W/M Restrooms,40.749652,-73.823162,"c(-73.823162, 40.749652)",Seasonal,Fully Accessible,0,1
Fresh Meadows Playground,Park,Multi-Stall W/M Restrooms,40.734447,-73.796195,"c(-73.796195, 40.734447)",Unknown,Not Accessible,0,1
"Pomonok Library, QPL",Library,Single-Stall All Gender Restroom(s),40.732933,-73.810096,"c(-73.810096, 40.732933)",Year Round,Unknown,1,1
Playground 52 LII,Park,Multi-Stall W/M Restrooms,40.815446,-73.901445,"c(-73.901445, 40.815446)",Year Round,Fully Accessible,0,1
John Street Snack Bar,Park,,40.705585,-74.003725,"c(-74.003725, 40.705585)",Year Round,Unknown,0,1
Edmonds Playground,Park,Multi-Stall W/M Restrooms,40.689246,-73.971727,"c(-73.971727, 40.689246)",Year Round,Not Accessible,0,1
"Castle Hill Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.826638,-73.850172,"c(-73.850172, 40.826638)",Year Round,Fully Accessible,0,1
"Kings Highway Library, BPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.610265,-73.953107,"c(-73.953107, 40.610265)",Year Round,Fully Accessible,1,1
Corporal John A. Seravalli Playground,Park,Multi-Stall W/M Restrooms,40.738938,-74.004667,"c(-74.004667, 40.738938)",Year Round,Fully Accessible,0,1
Alfred E. Smith Playground,Park,,40.71104,-73.997394,"c(-73.997394, 40.71104)",Year Round,Unknown,0,1
Randall's Island Sunken Meadow,Park,,40.795552,-73.918906,"c(-73.918906, 40.795552)",Year Round,Fully Accessible,0,1
"67th Street Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.764923,-73.959551,"c(-73.959551, 40.764923)",Year Round,Fully Accessible,0,1
Chelsea Waterside Park,Park,,40.74936,-74.007768,"c(-74.007768, 40.74936)",Year Round,Fully Accessible,0,1
Dyker Beach Golf Course,Park,,40.612719,-74.019631,"c(-74.019631, 40.612719)",Year Round,Unknown,0,0
"South Jamaica Library, QPL",Library,Single-Stall All Gender Restroom(s),40.695619,-73.790213,"c(-73.790213, 40.695619)",Year Round,Unknown,0,1
Highland Park Zone 2,Park,Multi-Stall W/M Restrooms,40.683161,-73.892925,"c(-73.892925, 40.683161)",Year Round,Not Accessible,0,0
Corlears Hook Park,Park,Multi-Stall W/M Restrooms,40.711748,-73.979789,"c(-73.979789, 40.711748)",Year Round,Fully Accessible,0,1
Moore Homestead Playground,Park,Multi-Stall W/M Restrooms,40.742342,-73.882357,"c(-73.882357, 40.742342)",Year Round,Not Accessible,0,1
North Riverside Blvd and Slopes,Park,,40.779719,-73.988404,"c(-73.988404, 40.779719)",Year Round,Unknown,0,1
"Mott Haven Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.811598,-73.924383,"c(-73.924383, 40.811598)",Year Round,Fully Accessible,1,1
Rochdale Park,Park,,40.674123,-73.774418,"c(-73.774418, 40.674123)",Year Round,Unknown,0,1
"Bay Terrace Library, QPL",Library,,40.782532,-73.777012,"c(-73.777012, 40.782532)",Year Round,Unknown,0,0
Farm Playground,Park,Multi-Stall W/M Restrooms,40.736061,-73.777254,"c(-73.777254, 40.736061)",Seasonal,Not Accessible,0,1
St. Nicholas Park,Park,Multi-Stall W/M Restrooms,40.815639,-73.94903,"c(-73.94903, 40.815639)",Year Round,Not Accessible,0,1
Carousel,Park,Multi-Stall W/M Restrooms,40.700735,-73.855206,"c(-73.855206, 40.700735)",Seasonal,Not Accessible,0,1
"Park Slope Library, BPL",Library,Single-Stall All Gender Restroom(s),40.668243,-73.983457,"c(-73.983457, 40.668243)",Year Round,Fully Accessible,1,1
Vito Locascio Field,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.670107,-73.844611,"c(-73.844611, 40.670107)",Year Round,Fully Accessible,0,1
"Charleston Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.531061,-74.232184,"c(-74.232184, 40.531061)",Year Round,Fully Accessible,1,1
Hudson River Park Pier 45,Park,,40.732905,-74.010783,"c(-74.010783, 40.732905)",Year Round,Fully Accessible,0,1
"Columbus Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.764943,-73.991222,"c(-73.991222, 40.764943)",Year Round,Fully Accessible,1,1
Canarsie Park Zone 1,Park,Multi-Stall W/M Restrooms,40.62897,-73.895973,"c(-73.895973, 40.62897)",Year Round,Fully Accessible,0,1
Indian Field,Park,Multi-Stall W/M Restrooms,40.895944,-73.879017,"c(-73.879017, 40.895944)",Year Round,Fully Accessible,0,1
175th Street Playground,Park,Multi-Stall W/M Restrooms,40.844555,-73.89466,"c(-73.89466, 40.844555)",Seasonal,Fully Accessible,0,1
Bowne Playground,Park,Multi-Stall W/M Restrooms,40.758004,-73.824733,"c(-73.824733, 40.758004)",Unknown,Fully Accessible,0,0
Sperandeo Brothers Playground,Park,Multi-Stall W/M Restrooms,40.677632,-73.88425,"c(-73.88425, 40.677632)",Year Round,Fully Accessible,0,1
"Tottenville Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.509539,-74.244108,"c(-74.244108, 40.509539)",Year Round,Fully Accessible,0,1
Harris Playground,Park,Multi-Stall W/M Restrooms,40.875284,-73.892699,"c(-73.892699, 40.875284)",Year Round,Fully Accessible,0,1
"Far Rockaway Library, QPL",Library,Single-Stall All Gender Restroom(s),40.604322,-73.752481,"c(-73.752481, 40.604322)",Year Round,Unknown,0,0
Colucci Playground,Park,Multi-Stall W/M Restrooms,40.85247,-73.834676,"c(-73.834676, 40.85247)",Year Round,Fully Accessible,0,1
"Port Richmond Library, NYPL",Library,,40.637594,-74.131106,"c(-74.131106, 40.637594)",Future,Unknown,0,0
Marion Hopkinson Playground,Park,Multi-Stall W/M Restrooms,40.681851,-73.913359,"c(-73.913359, 40.681851)",Year Round,Fully Accessible,0,1
Captain Mario Fajardo Park,Park,Multi-Stall W/M Restrooms,40.745029,-73.817257,"c(-73.817257, 40.745029)",Year Round,Fully Accessible,0,1
World's Fair Playground,Park,Multi-Stall W/M Restrooms,40.73717,-73.845753,"c(-73.845753, 40.73717)",Unknown,Not Accessible,0,1
Baisley Park South,Park,Multi-Stall W/M Restrooms,40.669127,-73.788667,"c(-73.788667, 40.669127)",Year Round,Not Accessible,0,1
"Kingsbridge Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.880708,-73.907707,"c(-73.907707, 40.880708)",Year Round,Fully Accessible,1,1
Vernon Playground,Park,Multi-Stall W/M Restrooms,40.757034,-73.947368,"c(-73.947368, 40.757034)",Seasonal,Not Accessible,0,1
Seward Park,Park,Multi-Stall W/M Restrooms,40.714723,-73.989061,"c(-73.989061, 40.714723)",Year Round,Fully Accessible,0,1
Corona Golf Playground,Park,Multi-Stall W/M Restrooms,40.747759,-73.854036,"c(-73.854036, 40.747759)",Year Round,Not Accessible,0,1
Riverbend Playground,Park,Multi-Stall W/M Restrooms,40.871911,-73.905983,"c(-73.905983, 40.871911)",Year Round,Fully Accessible,0,1
Arcilla Playground,Park,Multi-Stall W/M Restrooms,40.827172,-73.914585,"c(-73.914585, 40.827172)",Year Round,Fully Accessible,0,1
Star Spangled Playground,Park,Multi-Stall W/M Restrooms,40.691691,-73.957832,"c(-73.957832, 40.691691)",Seasonal,Not Accessible,0,1
Squibb Park,Park,,40.701061,-73.995386,"c(-73.995386, 40.701061)",Year Round,Unknown,0,1
Northwest Reservoir,Park,Multi-Stall W/M Restrooms,40.789439,-73.961894,"c(-73.961894, 40.789439)",Year Round,Not Accessible,0,1
Madison Square Park APT,Public Plaza,Single-Stall All Gender Restroom(s),40.741309,-73.987845,"c(-73.987845, 40.741309)",Year Round,Fully Accessible,0,1
Lily Brown Playground,Park,Multi-Stall W/M Restrooms,40.838909,-73.946009,"c(-73.946009, 40.838909)",Year Round,Not Accessible,0,1
Mill Pond Park,Park,,40.824452,-73.931499,"c(-73.931499, 40.824452)",Year Round,Unknown,0,1
Rufus King Park,Park,Multi-Stall W/M Restrooms,40.703339,-73.803382,"c(-73.803382, 40.703339)",Year Round,Fully Accessible,0,1
"Washington Irving Library, BPL",Library,Single-Stall All Gender Restroom(s),40.697503,-73.912202,"c(-73.912202, 40.697503)",Year Round,Fully Accessible,1,1
River Run Playground,Park,Multi-Stall W/M Restrooms,40.78733,-73.982087,"c(-73.982087, 40.78733)",Year Round,Not Accessible,0,1
Behagen Playground,Park,Multi-Stall W/M Restrooms,40.825528,-73.900952,"c(-73.900952, 40.825528)",Seasonal,Fully Accessible,0,1
"Paerdegat Library, BPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.632645,-73.919986,"c(-73.919986, 40.632645)",Year Round,Fully Accessible,1,1
"Ravenswood Library, QPL",Library,Single-Stall All Gender Restroom(s),40.760688,-73.936405,"c(-73.936405, 40.760688)",Year Round,Unknown,0,1
"Dyker Library, BPL",Library,Single-Stall All Gender Restroom(s),40.616316,-74.01199,"c(-74.01199, 40.616316)",Year Round,Fully Accessible,1,1
Bennett Park,Park,Multi-Stall W/M Restrooms,40.853219,-73.937948,"c(-73.937948, 40.853219)",Seasonal,Not Accessible,0,1
Garibaldi Playground,Park,Multi-Stall W/M Restrooms,40.608926,-73.999998,"c(-73.999998, 40.608926)",Unknown,Not Accessible,0,0
Playground,Park,Multi-Stall W/M Restrooms,40.74916,-73.803819,"c(-73.803819, 40.74916)",Seasonal,Fully Accessible,0,1
Sarsfield Playground,Park,Multi-Stall W/M Restrooms,40.620341,-73.93718,"c(-73.93718, 40.620341)",Year Round,Fully Accessible,0,1
153 East 53rd Street POPS,Privately Owned Public Space,Multi-Stall W/M Restrooms,40.758406,-73.970038,"c(-73.970038, 40.758406)",Year Round,Fully Accessible,1,1
Paerdegat Basin Marina 1,Park,,40.624409,-73.903769,"c(-73.903769, 40.624409)",Year Round,Unknown,0,1
Whitestone Playground,Park,Multi-Stall W/M Restrooms,40.791879,-73.808312,"c(-73.808312, 40.791879)",Year Round,Not Accessible,0,1
Terrace Playground,Park,Multi-Stall W/M Restrooms,40.613556,-74.098282,"c(-74.098282, 40.613556)",Year Round,Not Accessible,0,1
Cunningham Gas Station,Park,,40.725062,-73.771671,"c(-73.771671, 40.725062)",Year Round,Unknown,0,1
The High Line Zone 1,Park,,40.739488,-74.008228,"c(-74.008228, 40.739488)",Year Round,Unknown,0,1
South Of Fountain Of The Planets,Park,Multi-Stall W/M Restrooms,40.746717,-73.838559,"c(-73.838559, 40.746717)",Seasonal,Partially Accessible,0,1
Raymond Bush Playground,Park,Multi-Stall W/M Restrooms,40.686595,-73.939377,"c(-73.939377, 40.686595)",Year Round,Not Accessible,0,1
Hollis Playground,Park,Multi-Stall W/M Restrooms,40.706719,-73.75313,"c(-73.75313, 40.706719)",Seasonal,Not Accessible,0,1
Meadow Lake Northeast,Park,Multi-Stall W/M Restrooms,40.735856,-73.838481,"c(-73.838481, 40.735856)",Year Round,Fully Accessible,0,1
Astoria Heights Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.761021,-73.911315,"c(-73.911315, 40.761021)",Year Round,Fully Accessible,0,1
Grand Central Parkway Gas,Park,,40.767711,-73.865189,"c(-73.865189, 40.767711)",Year Round,Unknown,0,1
High Rock Park,Park,Multi-Stall W/M Restrooms,40.582768,-74.122539,"c(-74.122539, 40.582768)",Unknown,Fully Accessible,0,0
St. Andrew's Playground,Park,Multi-Stall W/M Restrooms,40.678808,-73.942012,"c(-73.942012, 40.678808)",Year Round,Fully Accessible,0,1
"Astoria Library, QPL",Library,Single-Stall All Gender Restroom(s),40.772384,-73.928743,"c(-73.928743, 40.772384)",Year Round,Unknown,1,1
Captain Rivera Playground,Park,Multi-Stall W/M Restrooms,40.817949,-73.906798,"c(-73.906798, 40.817949)",Year Round,Fully Accessible,0,1
"Leonard Library, BPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.713653,-73.947937,"c(-73.947937, 40.713653)",Year Round,Partially Accessible,1,0
"Cambria Heights Library, QPL",Library,Single-Stall All Gender Restroom(s),40.695731,-73.741164,"c(-73.741164, 40.695731)",Year Round,Unknown,1,1
